COUNTY_ID,COUNTY_NAME,DISTRICT_ID,DISTRICT_NAME,VAXADMIN,RTCUMVAXADMIN,PERSONVAX,PCTCUMPVAX,PERSONCVAX,PCTCUMPCVAX
00000,GEORGIA,NA,NA,6348671,61022,3667759,35.3,2787207,26.8
13001,Appling County,09-2,9-2 Southeast (Waycross),6738,36540,3816,20.7,3219,17.5
13003,Atkinson County,09-2,9-2 Southeast (Waycross),2977,36133,1771,21.5,1305,15.8
13005,Bacon County,09-2,9-2 Southeast (Waycross),3717,33184,2079,18.6,1711,15.3
13007,Baker County,08-2,8-2 Southwest (Albany),1674,53448,911,29.1,785,25.1
13009,Baldwin County,05-2,5-2 North Central (Macon),22145,49090,12289,27.2,10187,22.6
13011,Banks County,02-0,2 North (Gainesville),6396,34188,3620,19.4,2923,15.6
13013,Barrow County,10-0,10 Northeast (Athens),32204,40769,18788,23.8,14073,17.8
13015,Bartow County,01-1,1-1 Northwest (Rome),42519,40525,24533,23.4,18996,18.1
13017,Ben Hill County,08-1,8-1 South (Valdosta),6777,39787,3846,22.6,3257,19.1
13019,Berrien County,08-1,8-1 South (Valdosta),6911,36085,3877,20.2,3219,16.8
13021,Bibb County,05-2,5-2 North Central (Macon),78365,51152,43318,28.3,35741,23.3
13023,Bleckley County,05-1,5-1 South Central (Dublin),4130,32247,2339,18.3,1864,14.6
13025,Brantley County,09-2,9-2 Southeast (Waycross),5193,27687,2897,15.4,2427,12.9
13027,Brooks County,08-1,8-1 South (Valdosta),7851,50359,4299,27.6,3664,23.5
13029,Bryan County,09-1,9-1 Coastal (Savannah),20471,55232,11571,31.2,9429,25.4
13031,Bulloch County,09-2,9-2 Southeast (Waycross),29526,38788,16409,21.6,13586,17.8
13033,Burke County,06-0,6 East Central (Augusta),10071,44720,5723,25.4,4560,20.2
13035,Butts County,04-0,4 LaGrange,8316,34520,4808,20,3789,15.7
13037,Calhoun County,08-2,8-2 Southwest (Albany),3678,57784,1990,31.3,1733,27.2
13039,Camden County,09-1,9-1 Coastal (Savannah),22926,43068,12709,23.9,10698,20.1
13043,Candler County,09-2,9-2 Southeast (Waycross),5163,47752,2901,26.8,2389,22.1
13045,Carroll County,04-0,4 LaGrange,43845,37415,25493,21.8,19148,16.3
13047,Catoosa County,01-1,1-1 Northwest (Rome),29990,44962,16845,25.3,13673,20.5
13049,Charlton County,09-2,9-2 Southeast (Waycross),2808,21533,1608,12.3,1290,9.9
13051,Chatham County,09-1,9-1 Coastal (Savannah),177320,61463,98742,34.2,81188,28.1
